5,2025-05-06 22:00:11,SHIPPED,1470.64,1590,909
2,2024-12-18 07:09:41,SHIPPED,1027.89,6337,370
5,2024-05-06 08:25:29,SHIPPED,795.0,6429,533
1,2024-11-29 06:45:19,SHIPPED,1359.91,5717,215
2,2024-02-04 15:55:24,SHIPPED,116.99,8529,403
4,2025-06-18 09:39:55,SHIPPED,1210.71,6192,246
4,2024-10-15 04:56:28,DELIVERED,1749.61,1528,982
2,2024-02-16 00:57:10,PENDING,1767.78,9414,668
5,2024-05-14 06:10:57,SHIPPED,1682.31,5547,547
5,2024-12-06 07:32:51,SHIPPED,557.7,2872,248
4,2024-04-02 12:18:00,PENDING,256.45,8809,358
2,2025-04-16 06:14:40,DELIVERED,1186.31,1544,862
5,2024-07-30 18:06:06,SHIPPED,1314.98,5078,961
2,2024-04-25 06:03:22,PENDING,1605.5,6235,91
3,2025-05-10 10:50:35,PENDING,999.53,3578,982
5,2024-09-02 09:45:30,PENDING,1023.06,2428,915
3,2025-12-05 08:53:00,PENDING,1320.72,8375,39
4,2024-12-30 10:24:02,SHIPPED,1964.29,2956,472
3,2024-11-10 04:01:44,PENDING,761.45,8403,962
5,2025-05-31 04:43:05,SHIPPED,1385.88,4672,960
2,2024-04-14 03:31:23,SHIPPED,370.18,7509,939
1,2025-07-01 18:01:25,PENDING,341.04,3306,101
4,2024-11-19 05:21:26,DELIVERED,1130.8,2573,119
4,2024-06-25 11:15:35,SHIPPED,287.62,8448,912
3,2025-02-23 10:05:41,SHIPPED,976.72,8609,417
1,2024-11-13 11:35:18,DELIVERED,416.92,1607,819
5,2024-02-25 14:07:41,PENDING,564.34,6431,396
4,2024-12-05 17:05:50,PENDING,1223.59,6343,878
1,2024-08-10 05:56:22,SHIPPED,1947.76,7694,838
1,2025-03-25 12:50:22,DELIVERED,810.4,2583,680
2,2024-02-09 22:25:04,SHIPPED,1325.93,3322,70
3,2025-09-23 10:54:27,SHIPPED,694.66,9487,563
3,2025-05-14 15:58:00,SHIPPED,565.61,3825,13
4,2024-10-26 21:58:57,DELIVERED,1676.73,8662,3
1,2024-11-04 13:12:15,DELIVERED,1926.55,1156,793
4,2024-05-01 03:34:17,SHIPPED,1030.96,2993,213
5,2025-02-16 10:03:46,SHIPPED,1093.75,7724,804
4,2025-02-04 11:22:59,DELIVERED,1268.1,1793,912
3,2025-12-16 11:57:55,SHIPPED,666.81,3589,574
4,2024-10-15 13:29:45,PENDING,912.35,781,766
1,2025-05-07 08:04:37,PENDING,1916.58,2357,853
1,2025-12-06 01:34:59,PENDING,1873.94,5503,447
4,2024-05-29 01:48:32,DELIVERED,356.34,7139,145
1,2025-02-08 13:17:00,SHIPPED,1939.08,2582,276
1,2024-01-30 03:31:31,PENDING,697.65,8366,921
1,2024-11-22 15:42:14,DELIVERED,263.28,5373,515
1,2024-05-02 01:46:45,SHIPPED,1797.97,5977,716
5,2024-04-26 04:12:56,PENDING,1901.74,728,284
4,2024-07-07 08:23:55,SHIPPED,1890.41,9306,325
4,2024-04-07 18:07:49,PENDING,945.03,4791,418
1,2025-11-17 11:24:54,DELIVERED,857.01,6930,818
2,2024-01-15 00:55:20,PENDING,1389.78,5261,548
3,2025-08-13 19:45:26,DELIVERED,660.04,7459,72
3,2025-10-10 17:52:31,PENDING,243.06,1401,732
3,2025-04-30 13:43:58,DELIVERED,1502.44,4246,293
1,2024-11-10 18:38:44,DELIVERED,1363.87,4407,619
2,2024-04-05 14:10:14,SHIPPED,365.78,1546,650
1,2025-11-04 01:34:21,PENDING,1484.45,998,121
4,2024-07-23 13:12:19,PENDING,1183.13,7976,257
4,2024-05-30 21:36:27,PENDING,335.55,6582,828
1,2024-02-16 21:39:51,SHIPPED,633.02,19,804
2,2024-07-28 03:13:40,PENDING,1985.9,7012,109
5,2024-03-30 20:02:35,SHIPPED,759.47,6120,204
